year,gp,driver,team,finish_position,points,avg_lap_time,fastest_lap,laps_completed,round_number,is_win,is_podium,is_tops,cumulative_points,cumulative_wins,cumulative_podiums,points_momentum,avg_finish_lastN,consistency_score,race_leader_points,points_gap_to_leader
2025,Mexico City Grand Prix,SAI,Williams,17.0,0.0,0 days 00:01:23.793014925,0 days 00:01:20.098000,68,20,0,0,0,26.0,0,1,5.333333333333333,10.0,10.8,270.0,244.0
2025,Las Vegas Grand Prix,SAI,Williams,5.0,10.0,0 days 00:01:38.067060,0 days 00:01:34.496000,50,22,0,0,1,36.0,0,1,3.6666666666666665,10.666666666666666,9.2,270.0,234.0
2025,Abu Dhabi Grand Prix,SAI,Williams,13.0,0.0,0 days 00:01:30.510810344,0 days 00:01:29.052000,58,24,0,0,0,36.0,0,1,3.3333333333333335,11.666666666666666,9.6,288.0,252.0
2025,Australian Grand Prix,STR,Aston Martin,6.0,8.0,0 days 00:01:44.730129629,0 days 00:01:25.538000,57,1,0,0,0,8.0,0,0,8.0,6.0,6.0,25.0,17.0
2025,Japanese Grand Prix,STR,Aston Martin,20.0,0.0,0 days 00:01:34.998307692,0 days 00:01:32.052000,52,3,0,0,0,8.0,0,0,4.0,13.0,13.0,43.0,35.0
2025,Bahrain Grand Prix,STR,Aston Martin,17.0,0.0,0 days 00:01:40.934000,0 days 00:01:38.064000,57,4,0,0,0,8.0,0,0,2.6666666666666665,14.333333333333334,14.333333333333334,58.0,50.0
2025,Saudi Arabian Grand Prix,STR,Aston Martin,16.0,0.0,0 days 00:01:36.807148936,0 days 00:01:32.745000,49,5,0,0,0,8.0,0,0,0.0,17.666666666666668,14.75,70.0,62.0
2025,Emilia Romagna Grand Prix,STR,Aston Martin,15.0,0.0,0 days 00:01:27.717333333,0 days 00:01:20.501000,63,7,0,0,0,8.0,0,0,0.0,16.0,14.8,94.0,86.0
2025,Monaco Grand Prix,STR,Aston Martin,15.0,0.0,0 days 00:01:20.318921052,0 days 00:01:14.877000,76,8,0,0,0,8.0,0,0,0.0,15.333333333333334,16.6,113.0,105.0
2025,Canadian Grand Prix,STR,Aston Martin,17.0,0.0,0 days 00:01:20.025376811,0 days 00:01:14.902000,69,10,0,0,0,8.0,0,0,0.0,15.666666666666666,16.0,134.0,126.0
2025,Austrian Grand Prix,STR,Aston Martin,14.0,0.0,0 days 00:01:13.364565217,0 days 00:01:09.214000,69,11,0,0,0,8.0,0,0,0.0,15.333333333333334,15.4,156.0,148.0
2025,British Grand Prix,STR,Aston Martin,7.0,6.0,0 days 00:01:47.027543478,0 days 00:01:32.088000,52,12,0,0,0,14.0,0,0,2.0,12.666666666666666,13.6,181.0,167.0
